time,animal,pellets,motorTurns,battery,delay,protocol
1663767494,420,01,01,04,01,baseline
1663767514,420,02,03,04,01,baseline
1663767543,420,03,10,04,01,baseline
1663767564,420,04,02,04,01,baseline
1663767576,420,05,06,04,01,baseline
1663767580,420,06,02,04,01,baseline
1663767585,420,07,02,04,01,baseline
1663767601,420,08,03,04,01,baseline
1663767607,420,09,03,04,01,baseline
1663767612,420,10,02,04,01,baseline
1663767617,420,11,02,04,01,baseline
1663767622,420,12,02,04,01,baseline
1663767628,420,13,03,04,01,baseline
1663767633,420,14,02,04,01,baseline
1663767640,420,15,03,04,01,baseline
1663767646,420,16,03,04,01,baseline
1663767648,420,17,01,04,01,baseline
1663767650,420,18,01,04,01,baseline
1663767652,420,19,01,04,01,baseline
1663767655,420,20,01,04,01,baseline
1663767657,420,21,01,04,01,baseline
1663767661,420,22,01,04,01,baseline
1663767665,420,23,02,04,01,baseline
1663767719,420,01,01,04,01,baseline
1663767734,420,02,07,04,01,baseline
1663847277,420,03,14524,04,01,baseline
1663847399,420,01,01,04,01,baseline
1663848032,420,02,14,04,01,baseline
1663849400,420,03,546,04,01,baseline
1663853861,420,04,1774,04,01,baseline
1663873880,420,05,7900,04,01,baseline
1663887105,420,06,5163,04,01,baseline
1663887124,420,07,08,04,01,baseline
1663887159,420,08,15,04,01,baseline
1663896109,420,09,1572,04,01,baseline
1663896135,420,10,00,04,01,baseline
1663896267,420,11,00,04,01,baseline
1663896282,420,12,00,04,01,baseline
1663900914,420,13,00,04,01,baseline
1663900924,420,14,00,04,01,baseline
1663900934,420,15,00,04,01,baseline
1663900946,420,16,00,04,01,baseline
1663900958,420,17,00,04,01,baseline
1663901429,420,18,00,04,01,baseline
1663934402,420,19,00,04,01,baseline
1663935089,420,20,275,04,01,baseline
1663945493,420,21,4132,04,01,baseline
1663951677,420,22,2444,04,01,baseline
1663964255,420,23,4939,04,01,baseline
1663964285,420,24,13,04,01,baseline
1663965750,420,25,574,04,01,baseline
1663965755,420,26,02,04,01,baseline
1663966642,420,27,348,04,01,baseline
1663967461,420,28,321,04,01,baseline
1663967846,420,29,151,04,01,baseline
1663968075,420,30,90,04,01,baseline
1663968087,420,31,06,04,01,baseline
1663969269,420,32,462,04,01,baseline
1663970222,420,33,373,04,01,baseline
1663970329,420,34,43,04,01,baseline
1663970536,420,35,82,04,01,baseline
1663970559,420,36,10,04,01,baseline
1663970582,420,37,10,04,01,baseline
1663972221,420,38,639,04,01,baseline
1663972308,420,39,35,04,01,baseline
1663972680,420,40,146,04,01,baseline
1663972728,420,41,20,04,01,baseline
1663972782,420,42,22,04,01,baseline
1663972868,420,43,35,04,01,baseline
1663973441,420,44,224,04,01,baseline
1663974085,420,45,251,04,01,baseline
1663974145,420,46,22,04,01,baseline
1663974156,420,47,04,04,01,baseline
1663974176,420,48,09,04,01,baseline
1663974634,420,49,179,04,01,baseline
1663975919,420,50,500,04,01,baseline
1663976459,420,51,211,04,01,baseline
1663976482,420,52,10,04,01,baseline
1663976502,420,53,09,04,01,baseline
1664020806,420,54,429,04,01,baseline
1664022061,420,55,501,04,01,baseline
1664022107,420,56,20,04,01,baseline
1664022172,420,57,27,04,01,baseline
1664022216,420,58,19,04,01,baseline
1664024724,420,01,01,04,15,baseline
1664024754,420,02,07,04,15,baseline
1664024982,420,03,86,04,15,baseline
1664025646,420,04,259,04,15,baseline
1664025828,420,05,67,04,15,baseline
1664025832,420,06,01,04,15,baseline
1664026446,420,07,236,04,15,baseline
1664028852,420,08,949,04,15,baseline
1664028924,420,09,24,04,15,baseline
1664031101,420,10,857,04,15,baseline
1664031138,420,11,10,04,15,baseline
1664031158,420,12,02,04,15,baseline
1664031994,420,13,323,04,15,baseline
1664032022,420,14,06,04,15,baseline
1664032044,420,15,03,04,15,baseline
1664035204,420,16,1243,04,15,baseline
1664035241,420,17,10,04,15,baseline
1664035299,420,18,18,04,15,baseline
1664035399,420,19,35,04,15,baseline
1664036876,420,20,577,04,15,baseline
1664039552,420,21,1049,04,15,baseline
1664039575,420,22,04,04,15,baseline
1664039598,420,23,04,04,15,baseline
1664042301,420,24,1058,04,15,baseline
1664042454,420,25,55,04,15,baseline
1664042514,420,26,06,04,15,baseline
